路線名,方面,列車番号,列車名,始発駅,始発時刻,運転日,駅名,発着,時刻
東海道・山陽新幹線,下り,871A,こだま871,小倉,634,毎日,小倉,発,634
東海道・山陽新幹線,下り,871A,こだま871,小倉,634,毎日,博多,着,652
東海道・山陽新幹線,下り,873A,こだま873,新山口,627,平日,新山口,発,627
東海道・山陽新幹線,下り,873A,こだま873,新山口,627,平日,厚狭,発,638
東海道・山陽新幹線,下り,873A,こだま873,新山口,627,平日,新下関,発,648
東海道・山陽新幹線,下り,873A,こだま873,新山口,627,平日,小倉,着,656
東海道・山陽新幹線,下り,873A,こだま873,新山口,627,平日,小倉,発,657
東海道・山陽新幹線,下り,873A,こだま873,新山口,627,平日,博多,着,713
東海道・山陽新幹線,下り,875A,こだま875,広島,605,毎日,広島,発,605
東海道・山陽新幹線,下り,875A,こだま875,広島,605,毎日,新岩国,発,619
東海道・山陽新幹線,下り,875A,こだま875,広島,605,毎日,徳山,発,633
東海道・山陽新幹線,下り,875A,こだま875,広島,605,毎日,新山口,発,647
東海道・山陽新幹線,下り,875A,こだま875,広島,605,毎日,厚狭,発,657
東海道・山陽新幹線,下り,875A,こだま875,広島,605,毎日,新下関,発,707
東海道・山陽新幹線,下り,875A,こだま875,広島,605,毎日,小倉,着,715
東海道・山陽新幹線,下り,875A,こだま875,広島,605,毎日,小倉,発,716
東海道・山陽新幹線,下り,875A,こだま875,広島,605,毎日,博多,着,733
東海道・山陽新幹線,下り,877A,こだま877,新山口,705,平日,新山口,発,705
東海道・山陽新幹線,下り,877A,こだま877,新山口,705,平日,厚狭,発,715
東海道・山陽新幹線,下り,877A,こだま877,新山口,705,平日,新下関,発,724
東海道・山陽新幹線,下り,877A,こだま877,新山口,705,平日,小倉,着,732
東海道・山陽新幹線,下り,877A,こだま877,新山口,705,平日,小倉,発,733
東海道・山陽新幹線,下り,877A,こだま877,新山口,705,平日,博多,着,750
東海道・山陽新幹線,下り,401A,さくら401,広島,643,毎日,広島,発,643
東海道・山陽新幹線,下り,401A,さくら401,広島,643,毎日,新岩国,レ,レ
東海道・山陽新幹線,下り,401A,さくら401,広島,643,毎日,徳山,発,705
東海道・山陽新幹線,下り,401A,さくら401,広島,643,毎日,新山口,発,718
東海道・山陽新幹線,下り,401A,さくら401,広島,643,毎日,厚狭,レ,レ
東海道・山陽新幹線,下り,401A,さくら401,広島,643,毎日,新下関,発,732
東海道・山陽新幹線,下り,401A,さくら401,広島,643,毎日,小倉,着,740
東海道・山陽新幹線,下り,401A,さくら401,広島,643,毎日,小倉,発,741
東海道・山陽新幹線,下り,401A,さくら401,広島,643,毎日,博多,着,756
東海道・山陽新幹線,下り,879A,こだま879,小倉,755,平日,小倉,発,755
東海道・山陽新幹線,下り,879A,こだま879,小倉,755,平日,博多,着,811
東海道・山陽新幹線,下り,781A,こだま781,広島,653,毎日,広島,発,653
東海道・山陽新幹線,下り,881A,こだま881,広島,653,毎日,新岩国,発,708
東海道・山陽新幹線,下り,881A,こだま881,広島,653,毎日,徳山,発,721
東海道・山陽新幹線,下り,881A,こだま881,広島,653,毎日,新山口,発,735
東海道・山陽新幹線,下り,881A,こだま881,広島,653,毎日,厚狭,発,745
東海道・山陽新幹線,下り,881A,こだま881,広島,653,毎日,新下関,発,755
東海道・山陽新幹線,下り,881A,こだま881,広島,653,毎日,小倉,着,803
東海道・山陽新幹線,下り,881A,こだま881,広島,653,毎日,小倉,発,804
東海道・山陽新幹線,下り,881A,こだま881,広島,653,毎日,博多,着,821
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,岡山,発,610
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,新倉敷,発,621
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,福山,発,633
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,新尾道,発,641
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,三原,発,648
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,東広島,発,659
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,広島,着,710
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,広島,発,711
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,新岩国,発,726
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,徳山,発,739
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,新山口,発,757
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,厚狭,発,807
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,新下関,発,817
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,小倉,着,825
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,小倉,発,826
東海道・山陽新幹線,下り,931A,こだま931,岡山,610,毎日,博多,着,842
東海道・山陽新幹線,下り,883A,こだま883,小倉,835,毎日,小倉,発,835
東海道・山陽新幹線,下り,883A,こだま883,小倉,835,毎日,博多,着,852
東海道・山陽新幹線,下り,933A,こだま933,岡山,631,毎日,岡山,発,631
東海道・山陽新幹線,下り,933A,こだま933,岡山,631,毎日,新倉敷,発,641
東海道・山陽新幹線,下り,933A,こだま933,岡山,631,毎日,福山,発,653
東海道・山陽新幹線,下り,933A,こだま933,岡山,631,毎日,新尾道,発,701
東海道・山陽新幹線,下り,933A,こだま933,岡山,631,毎日,三原,発,714
